id,outcome,freshman,age,female,white,intl,married,hsgpa,hsrankpercent,SAT_Comb,a_rank,p_rank,interview,coaaid
214541,1,0,26,0,,0,0,,,,4,2,1,0
214572,1,1,21,1,1,0,0,,,,3,2,0,34500
214573,0,1,19,1,1,0,1,3.5,0.729083665,1740,3,2,1,23650
214604,0,1,19,1,1,0,1,3.89,0.812286689,1990,2,3,0,5000
214606,1,1,19,1,1,0,0,3.83,,2020,2,2,0,33000
214743,0,1,18,1,1,0,0,3.88,0.853881279,,1,2,0,0
214747,0,1,19,1,1,0,1,4.06,,1820,3,2,0,10000
214762,0,1,23,0,1,0,1,,,1720,3,2,0,0
214763,1,1,19,1,1,0,1,3.66,,,2,3,0,27325
214764,1,1,19,0,1,0,1,3.62,,,3,2,1,12500
214793,1,1,19,1,1,0,1,4,0.987012987,2260,1,2,1,10000
214801,1,1,19,0,1,0,1,3.44,0.753846154,,3,2,1,26500
214807,0,1,19,1,1,0,1,,,,3,3,0,26000
214817,0,1,19,1,1,0,1,,,1770,3,3,0,3000
214831,1,1,19,0,1,0,0,3.48,,,4,3,1,9750
214873,0,0,22,1,,0,1,,,2210,2,4,1,3000
214878,0,1,20,0,1,0,1,3.4,0.388059701,1460,3,3,0,3000
214880,0,1,18,0,1,0,1,3.75,0.882352941,,2,3,1,0
214897,0,1,18,1,1,0,1,,,1990,2,1,0,23650
214924,1,1,20,1,1,0,0,3.75,,,3,4,1,27054
214938,0,1,19,1,1,0,0,3.69,,1840,3,2,0,5000
214940,1,1,18,1,1,0,1,,,2030,2,1,0,10000
214943,0,1,19,1,1,0,0,,,2210,3,3,0,0
214947,0,1,19,1,1,0,1,3.4,,2140,2,2,0,10000
215046,0,1,28,0,1,0,1,4.23,,,2,4,1,26000
215057,0,1,28,0,1,0,1,3.5,,1940,2,3,0,5000
215069,0,1,19,1,1,0,1,3.78,0.894736842,,3,3,0,26000
215088,0,1,19,1,,0,1,3.7,0.776422764,1560,3,3,0,3000
